"filename", "language", "Ini", "C++", "JSON", "GLSL", "comment", "blank", "total"
"d:\Adata\study\opengl\engine\imgui.ini", "Ini", 21, 0, 0, 0, 0, 7, 28
"d:\Adata\study\opengl\engine\include\core\Application.hpp", "C++", 0, 1, 0, 0, 0, 0, 1
"d:\Adata\study\opengl\engine\include\core\Light.hpp", "C++", 0, 42, 0, 0, 7, 9, 58
"d:\Adata\study\opengl\engine\include\core\Material.hpp", "C++", 0, -3, 0, 0, 0, 0, -3
"d:\Adata\study\opengl\engine\include\core\Model.hpp", "C++", 0, 9, 0, 0, 0, 1, 10
"d:\Adata\study\opengl\engine\include\core\Renderer.hpp", "C++", 0, 38, 0, 0, 2, 7, 47
"d:\Adata\study\opengl\engine\include\core\Texture.hpp", "C++", 0, 2, 0, 0, 0, -1, 1
"d:\Adata\study\opengl\engine\include\ui\EditorUI.hpp", "C++", 0, 64, 0, 0, 16, 13, 93
"d:\Adata\study\opengl\engine\resources\scene\test.json", "JSON", 0, 0, 370, 0, 0, 0, 370
"d:\Adata\study\opengl\engine\resources\scene\test_scene.json", "JSON", 0, 0, 350, 0, 0, 0, 350
"d:\Adata\study\opengl\engine\resources\shaders\deferred\geometry_pass.frag", "GLSL", 0, 0, 0, 9, 0, 0, 9
"d:\Adata\study\opengl\engine\resources\shaders\deferred\lighting_pass.frag", "GLSL", 0, 0, 0, 47, 12, 13, 72
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.frag", "GLSL", 0, 0, 0, 41, 13, 13, 67
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\fxaa.frag", "GLSL", 0, 0, 0, 46, 9, 13, 68
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\post.frag", "GLSL", 0, 0, 0, -4, -1, -1, -6
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\ssao.frag", "GLSL", 0, 0, 0, 4, 8, 5, 17
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\ssao_blur.frag", "GLSL", 0, 0, 0, 15, 1, 4, 20
"d:\Adata\study\opengl\engine\resources\shaders\utility\shadow_depth.frag", "GLSL", 0, 0, 0, 4, 2, 1, 7
"d:\Adata\study\opengl\engine\resources\shaders\utility\shadow_depth.vert", "GLSL", 0, 0, 0, 12, 0, 3, 15
"d:\Adata\study\opengl\engine\src\core\Application.cpp", "C++", 0, 90, 0, 0, 9, 17, 116
"d:\Adata\study\opengl\engine\src\core\Light.cpp", "C++", 0, 173, 0, 0, 57, 39, 269
"d:\Adata\study\opengl\engine\src\core\Material.cpp", "C++", 0, -11, 0, 0, 0, -1, -12
"d:\Adata\study\opengl\engine\src\core\Model.cpp", "C++", 0, 3, 0, 0, 0, 1, 4
"d:\Adata\study\opengl\engine\src\core\Renderer.cpp", "C++", 0, 819, 0, 0, 93, 89, 1001
"d:\Adata\study\opengl\engine\src\core\Texture.cpp", "C++", 0, -6, 0, 0, -1, 0, -7
"d:\Adata\study\opengl\engine\src\ui\EditorUI.cpp", "C++", 0, 746, 0, 0, 71, 148, 965
"d:\Adata\study\opengl\engine\src\utils\FileDialog.cpp", "C++", 0, -36, 0, 0, -2, 2, -36
"Total", "-", 21, 1931, 720, 174, 296, 382, 3524
