"filename", "language", "XMake", "C++", "GLSL", "comment", "blank", "total"
"d:\Adata\study\opengl\engine\include\core\Application.hpp", "C++", 0, 29, 0, 0, 10, 39
"d:\Adata\study\opengl\engine\include\core\Camera.hpp", "C++", 0, 58, 0, 4, 14, 76
"d:\Adata\study\opengl\engine\include\core\Framebuffer.hpp", "C++", 0, 48, 0, 0, 7, 55
"d:\Adata\study\opengl\engine\include\core\Geometry.hpp", "C++", 0, 54, 0, 0, 3, 57
"d:\Adata\study\opengl\engine\include\core\Light.hpp", "C++", 0, 125, 0, 1, 26, 152
"d:\Adata\study\opengl\engine\include\core\Material.hpp", "C++", 0, 43, 0, 3, 11, 57
"d:\Adata\study\opengl\engine\include\core\Mesh.hpp", "C++", 0, 61, 0, 0, 13, 74
"d:\Adata\study\opengl\engine\include\core\Model.hpp", "C++", 0, 52, 0, 0, 11, 63
"d:\Adata\study\opengl\engine\include\core\Renderer.hpp", "C++", 0, 221, 0, 19, 33, 273
"d:\Adata\study\opengl\engine\include\core\Shader.hpp", "C++", 0, 29, 0, 1, 8, 38
"d:\Adata\study\opengl\engine\include\core\Texture.hpp", "C++", 0, 34, 0, 1, 7, 42
"d:\Adata\study\opengl\engine\include\stb_image.h", "C++", 0, 5833, 0, 1294, 861, 7988
"d:\Adata\study\opengl\engine\include\ui\EditorUI.hpp", "C++", 0, 60, 0, 2, 11, 73
"d:\Adata\study\opengl\engine\include\utils\FileDialog.hpp", "C++", 0, 8, 0, 5, 3, 16
"d:\Adata\study\opengl\engine\include\utils\FileSystem.hpp", "C++", 0, 10, 0, 0, 2, 12
"d:\Adata\study\opengl\engine\include\utils\Logger.hpp", "C++", 0, 27, 0, 0, 7, 34
"d:\Adata\study\opengl\engine\resources\shaders\deferred\geometry_pass.frag", "GLSL", 0, 0, 49, 6, 11, 66
"d:\Adata\study\opengl\engine\resources\shaders\deferred\geometry_pass.vert", "GLSL", 0, 0, 23, 0, 6, 29
"d:\Adata\study\opengl\engine\resources\shaders\deferred\lighting_pass.frag", "GLSL", 0, 0, 123, 18, 38, 179
"d:\Adata\study\opengl\engine\resources\shaders\deferred\lighting_pass.vert", "GLSL", 0, 0, 8, 0, 3, 11
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.frag", "GLSL", 0, 0, 154, 25, 49, 228
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.vert", "GLSL", 0, 0, 23, 0, 6, 29
"d:\Adata\study\opengl\engine\resources\shaders\utility\light.frag", "GLSL", 0, 0, 7, 0, 2, 9
"d:\Adata\study\opengl\engine\resources\shaders\utility\light.vert", "GLSL", 0, 0, 9, 0, 2, 11
"d:\Adata\study\opengl\engine\src\core\Application.cpp", "C++", 0, 138, 0, 11, 22, 171
"d:\Adata\study\opengl\engine\src\core\Camera.cpp", "C++", 0, 81, 0, 1, 14, 96
"d:\Adata\study\opengl\engine\src\core\Framebuffer.cpp", "C++", 0, 115, 0, 2, 24, 141
"d:\Adata\study\opengl\engine\src\core\Geometry.cpp", "C++", 0, 407, 0, 90, 123, 620
"d:\Adata\study\opengl\engine\src\core\Light.cpp", "C++", 0, 55, 0, 3, 7, 65
"d:\Adata\study\opengl\engine\src\core\Material.cpp", "C++", 0, 87, 0, 0, 13, 100
"d:\Adata\study\opengl\engine\src\core\Mesh.cpp", "C++", 0, 49, 0, 7, 16, 72
"d:\Adata\study\opengl\engine\src\core\Model.cpp", "C++", 0, 223, 0, 17, 36, 276
"d:\Adata\study\opengl\engine\src\core\Renderer.cpp", "C++", 0, 519, 0, 48, 89, 656
"d:\Adata\study\opengl\engine\src\core\Shader.cpp", "C++", 0, 118, 0, 3, 26, 147
"d:\Adata\study\opengl\engine\src\core\Texture.cpp", "C++", 0, 92, 0, 2, 14, 108
"d:\Adata\study\opengl\engine\src\main.cpp", "C++", 0, 7, 0, 0, 1, 8
"d:\Adata\study\opengl\engine\src\ui\EditorUI.cpp", "C++", 0, 499, 0, 35, 59, 593
"d:\Adata\study\opengl\engine\src\utils\FileDialog.cpp", "C++", 0, 84, 0, 6, 15, 105
"d:\Adata\study\opengl\engine\src\utils\FileSystem.cpp", "C++", 0, 23, 0, 2, 5, 30
"d:\Adata\study\opengl\engine\src\utils\Logger.cpp", "C++", 0, 37, 0, 1, 6, 44
"d:\Adata\study\opengl\engine\xmake.lua", "XMake", 14, 0, 0, 70, 3, 87
"Total", "-", 14, 9226, 396, 1677, 1617, 12930
