"filename", "language", "Ini", "C++", "XMake", "JSON", "GLSL", "comment", "blank", "total"
"d:\Adata\study\opengl\engine\imgui.ini", "Ini", 56, 0, 0, 0, 0, 0, 12, 68
"d:\Adata\study\opengl\engine\include\core\Application.hpp", "C++", 0, 30, 0, 0, 0, 0, 10, 40
"d:\Adata\study\opengl\engine\include\core\Camera.hpp", "C++", 0, 58, 0, 0, 0, 4, 14, 76
"d:\Adata\study\opengl\engine\include\core\Framebuffer.hpp", "C++", 0, 62, 0, 0, 0, 13, 22, 97
"d:\Adata\study\opengl\engine\include\core\Geometry.hpp", "C++", 0, 140, 0, 0, 0, 1, 7, 148
"d:\Adata\study\opengl\engine\include\core\Light.hpp", "C++", 0, 175, 0, 0, 0, 9, 38, 222
"d:\Adata\study\opengl\engine\include\core\Material.hpp", "C++", 0, 40, 0, 0, 0, 3, 11, 54
"d:\Adata\study\opengl\engine\include\core\Mesh.hpp", "C++", 0, 76, 0, 0, 0, 3, 14, 93
"d:\Adata\study\opengl\engine\include\core\Model.hpp", "C++", 0, 62, 0, 0, 0, 0, 12, 74
"d:\Adata\study\opengl\engine\include\core\Renderer.hpp", "C++", 0, 293, 0, 0, 0, 25, 46, 364
"d:\Adata\study\opengl\engine\include\core\Shader.hpp", "C++", 0, 29, 0, 0, 0, 1, 8, 38
"d:\Adata\study\opengl\engine\include\core\Texture.hpp", "C++", 0, 42, 0, 0, 0, 3, 8, 53
"d:\Adata\study\opengl\engine\include\core\TextureManager.hpp", "C++", 0, 20, 0, 0, 0, 4, 9, 33
"d:\Adata\study\opengl\engine\include\stb_image.h", "C++", 0, 5833, 0, 0, 0, 1294, 861, 7988
"d:\Adata\study\opengl\engine\include\ui\EditorUI.hpp", "C++", 0, 152, 0, 0, 0, 21, 27, 200
"d:\Adata\study\opengl\engine\include\utils\FileDialog.hpp", "C++", 0, 8, 0, 0, 0, 5, 3, 16
"d:\Adata\study\opengl\engine\include\utils\FileSystem.hpp", "C++", 0, 10, 0, 0, 0, 0, 2, 12
"d:\Adata\study\opengl\engine\include\utils\Logger.hpp", "C++", 0, 27, 0, 0, 0, 0, 7, 34
"d:\Adata\study\opengl\engine\resources\scene\test.json", "JSON", 0, 0, 0, 394, 0, 0, 0, 394
